SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,905 NE 43rd St #108,Seattle,WA,98105,299950,1,1,University District,652,NA,1926,10,460,1079,Active,NA,NA,https://www.redfin.com/WA/Seattle/905-NE-43rd-St-98105/unit-108/home/12280751,NWMLS as Distributed by MLS Grid,2309845,N,Y,47.6592429,-122.3185103
MLS Listing,NA,Condo/Co-op,800 Columbia St #1102,Seattle,WA,98104,495000,1,1,First Hill,539,NA,2023,11,918,567,Active,NA,NA,https://www.redfin.com/WA/Seattle/800-Columbia-St-98104/unit-1102/home/193493826,NWMLS as Distributed by MLS Grid,2309901,N,Y,47.6066658,-122.3271698
MLS Listing,NA,Condo/Co-op,2100 N 106th St #305,Seattle,WA,98133,260000,1,1,Northgate,508,NA,1979,13,512,406,Active,NA,NA,https://www.redfin.com/WA/Seattle/2100-N-106th-St-98133/unit-305/home/191929880,NWMLS as Distributed by MLS Grid,2309729,N,Y,47.7061278,-122.3335321
MLS Listing,NA,Condo/Co-op,1920 4th Ave #1012,Seattle,WA,98101,719000,1,1.5,Seattle,952,NA,2010,13,755,982,Active,November-23-2024 11:00 AM,November-23-2024 02:00 PM,https://www.redfin.com/WA/Seattle/1920-4th-Ave-98101/unit-1012/home/28624122,NWMLS as Distributed by MLS Grid,2306899,N,Y,47.6131547,-122.3393871
MLS Listing,NA,Townhouse,2608 E Cherry St,Seattle,WA,98122,562500,1,1,Central Area,590,2342,1926,14,953,217,Active,NA,NA,https://www.redfin.com/WA/Seattle/2608-E-Cherry-St-98122/home/39904501,NWMLS as Distributed by MLS Grid,2309525,N,Y,47.6081473,-122.298379
MLS Listing,NA,Condo/Co-op,125 Warren Ave N Unit J,Seattle,WA,98109,389000,1,1,Queen Anne,647,NA,1907,14,601,660,Active,November-23-2024 11:30 AM,November-23-2024 01:30 PM,https://www.redfin.com/WA/Seattle/125-Warren-Ave-N-98109/unit-J/home/12304968,NWMLS as Distributed by MLS Grid,2309290,N,Y,47.6194111,-122.3544142
MLS Listing,NA,Condo/Co-op,1820 24th Ave #202,Seattle,WA,98122,299000,1,1,Madison Valley,387,NA,1908,14,773,370,Active,NA,NA,https://www.redfin.com/WA/Seattle/1820-24th-Ave-98122/unit-202/home/21617485,NWMLS as Distributed by MLS Grid,2309134,N,Y,47.6183535,-122.3007838
MLS Listing,NA,Condo/Co-op,7001 Sand Point Way NE Unit B310,Seattle,WA,98115,345000,1,1,Sand Point,703,NA,1970,15,491,610,Active,NA,NA,https://www.redfin.com/WA/Seattle/7001-Sand-Point-Way-NE-98115/unit-B-310/home/17073838,NWMLS as Distributed by MLS Grid,2306556,N,Y,47.680287,-122.264389
MLS Listing,NA,Condo/Co-op,2415 2nd Ave #331,Seattle,WA,98121,475000,1,1,Belltown,638,NA,1994,16,745,677,Active,November-24-2024 01:00 PM,November-24-2024 03:00 PM,https://www.redfin.com/WA/Seattle/2415-2nd-Ave-98121/unit-331/home/191488305,NWMLS as Distributed by MLS Grid,2307256,N,Y,47.6149368,-122.347611
MLS Listing,NA,Condo/Co-op,2914 E Madison St #209,Seattle,WA,98112,945000,1,1.5,Madison Valley,1036,NA,2008,16,912,952,Active,NA,NA,https://www.redfin.com/WA/Seattle/2914-E-Madison-St-98112/unit-209/home/17381596,NWMLS as Distributed by MLS Grid,2307176,N,Y,47.6247795,-122.2946709
